TIC,RA,Dec
294750180,71.04606,-70.32357
229807000,352.24016,-68.04278
382043650,79.19114,-54.17134
5796048,348.93249,-12.36365
339576478,359.1298,-58.30721
294750180,71.04606,-70.32357
220432563,73.43244,-58.60688
231017428,27.10908,-56.97818
316805931,355.24579,-31.16298
339576478,359.1298,-58.30721
206327797,354.06615,-48.58354
234506911,12.39867,-63.7949
220433364,73.37727,-55.8588
231020638,27.73709,-58.73422
207082763,331.97444,-37.07329
220433364,73.37727,-55.8588
403237836,330.7271,-64.67895
231867117,6.0374,-62.18455
220433364,73.37727,-55.8588
152475404,62.38477,-44.59428
339576478,359.1298,-58.30721
156084049,11.36731,-51.62609
339576478,359.1298,-58.30721
220539110,43.4454,-61.58846
220433364,73.37727,-55.8588
147085676,321.5739,-45.91343
201919099,40.63761,-57.66023
140045538,329.42168,-51.00618
392756613,327.2744,-72.1025
142086812,98.43032,-75.62999
140045538,329.42168,-51.00618
142086812,98.43032,-75.62999
441398770,310.4631,-32.4352
140045538,329.42168,-51.00618
266998480,3.75991,-72.84244
140045538,329.42168,-51.00618
293507177,351.54457,-73.39718
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
192543856,154.55769,-20.47809
201878287,39.13525,-59.46821
388857263,217.429,-62.6795
294750180,71.04606,-70.32357
229807000,352.24016,-68.04278
382043650,79.19114,-54.17134
5796048,348.93249,-12.36365
339576478,359.1298,-58.30721
294750180,71.04606,-70.32357
220432563,73.43244,-58.60688
231017428,27.10908,-56.97818
316805931,355.24579,-31.16298
339576478,359.1298,-58.30721
206327797,354.06615,-48.58354
234506911,12.39867,-63.7949
220433364,73.37727,-55.8588
231020638,27.73709,-58.73422
207082763,331.97444,-37.07329
220433364,73.37727,-55.8588
403237836,330.7271,-64.67895
231867117,6.0374,-62.18455
220433364,73.37727,-55.8588
152475404,62.38477,-44.59428
339576478,359.1298,-58.30721
156084049,11.36731,-51.62609
339576478,359.1298,-58.30721
220539110,43.4454,-61.58846
220433364,73.37727,-55.8588
147085676,321.5739,-45.91343
201919099,40.63761,-57.66023
140045538,329.42168,-51.00618
392756613,327.2744,-72.1025
142086812,98.43032,-75.62999
140045538,329.42168,-51.00618
142086812,98.43032,-75.62999
441398770,310.4631,-32.4352
140045538,329.42168,-51.00618
266998480,3.75991,-72.84244
140045538,329.42168,-51.00618
293507177,351.54457,-73.39718
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
192543856,154.55769,-20.47809
201878287,39.13525,-59.46821
388857263,217.429,-62.6795
294750180,71.04606,-70.32357
229807000,352.24016,-68.04278
382043650,79.19114,-54.17134
5796048,348.93249,-12.36365
339576478,359.1298,-58.30721
294750180,71.04606,-70.32357
220432563,73.43244,-58.60688
231017428,27.10908,-56.97818
316805931,355.24579,-31.16298
339576478,359.1298,-58.30721
206327797,354.06615,-48.58354
234506911,12.39867,-63.7949
220433364,73.37727,-55.8588
231020638,27.73709,-58.73422
207082763,331.97444,-37.07329
220433364,73.37727,-55.8588
403237836,330.7271,-64.67895
231867117,6.0374,-62.18455
220433364,73.37727,-55.8588
152475404,62.38477,-44.59428
339576478,359.1298,-58.30721
156084049,11.36731,-51.62609
339576478,359.1298,-58.30721
220539110,43.4454,-61.58846
220433364,73.37727,-55.8588
147085676,321.5739,-45.91343
201919099,40.63761,-57.66023
140045538,329.42168,-51.00618
392756613,327.2744,-72.1025
142086812,98.43032,-75.62999
140045538,329.42168,-51.00618
142086812,98.43032,-75.62999
441398770,310.4631,-32.4352
140045538,329.42168,-51.00618
266998480,3.75991,-72.84244
140045538,329.42168,-51.00618
293507177,351.54457,-73.39718
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
140045538,329.42168,-51.00618
192543856,154.55769,-20.47809
201878287,39.13525,-59.46821
388857263,217.429,-62.6795
